station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
67,MIT at Mass Ave / Amherst St,42.3581,-71.0932,14500,14385,28885,0.1889,0.178,0.1834
22,South Station - 700 Atlantic Ave.,42.35218,-71.05555,13897,14431,28328,0.2186,0.1969,0.208
114,TD Garden - Causeway at Portal Park #1,42.36594,-71.06051,11224,9811,21035,0.1627,0.1738,0.1686
80,MIT Stata Center at Vassar St / Main St,42.36243,-71.09019,10182,9437,19619,0.2255,0.2207,0.223
128,Kendall T at Main St,42.36246,-71.08497,9265,10070,19335,0.2208,0.233,0.2266
53,Beacon St / Mass Ave,42.35085,-71.08989,9061,10183,19244,0.2229,0.2265,0.2246
75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36356,-71.10042,9245,8785,18030,0.2609,0.2782,0.2698
68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,8750,9081,17831,0.263,0.2654,0.2642
36,Boston Public Library - 700 Boylston St.,42.34967,-71.0773,8999,8229,17228,0.2507,0.2709,0.2613
16,Back Bay / South End Station,42.34743,-71.07616,7799,9237,17036,0.2371,0.2384,0.2377
113,Charles Circle - Charles St. at Cambridge St.,42.36069,-71.07088,8051,8955,17006,0.2985,0.3114,0.3046
74,Harvard Square at Mass Ave/ Dunster,42.37327,-71.11858,8276,7287,15563,0.2665,0.2651,0.2658
33,Kenmore Sq / Comm Ave,42.34905,-71.09683,7774,7523,15297,0.2337,0.2544,0.2442
91,One Kendall Square at Hampshire St / Portland St,42.36628,-71.09169,7049,6863,13912,0.243,0.2666,0.255
103,Boylston at Fairfield,42.34876,-71.08238,6936,6840,13776,0.2257,0.2305,0.2281
43,Rowes Wharf - Atlantic Ave,42.35714,-71.0507,7172,6353,13525,0.1539,0.1764,0.1658
64,Congress / Sleeper,42.3511,-71.0496,6996,6328,13324,0.1675,0.1747,0.1713
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.36643,-71.1055,6413,6435,12848,0.3088,0.2969,0.3029
48,Post Office Square,42.35675,-71.05541,6754,5991,12745,0.1933,0.1994,0.1965
21,Prudential Center / Belvidere,42.34596,-71.08258,6571,5874,12445,0.2145,0.2304,0.2229
6,Cambridge St. at Joy St.,42.36128,-71.06514,5861,6384,12245,0.266,0.2841,0.2747
55,Boylston / Mass Ave,42.34727,-71.08809,5865,5771,11636,0.2476,0.2421,0.2448
40,Lewis Wharf - Atlantic Ave.,42.36387,-71.05088,5352,5869,11221,0.3023,0.2943,0.2985
46,Christian Science Plaza,42.34386,-71.08592,5567,5617,11184,0.2355,0.2271,0.2313
47,Cross St. at Hanover St.,42.36281,-71.05607,5426,5728,11154,0.2533,0.2479,0.2507
52,Newbury St / Hereford St,42.34872,-71.08595,5487,5635,11122,0.3196,0.2962,0.3081
26,Washington St. at Waltham St.,42.34152,-71.06892,5619,5477,11096,0.2423,0.2207,0.2314
88,Inman Square at Vellucci Plaza / Hampshire St,42.37403,-71.10143,5371,5519,10890,0.3006,0.2847,0.2928
42,Boylston St. at Arlington St.,42.3521,-71.07038,5621,5117,10738,0.2611,0.2814,0.2717
72,One Broadway / Kendall Sq at Main St / 3rd St,42.36261,-71.0841,5586,5115,10701,0.1916,0.1964,0.1941
50,Boylston St / Berkeley St,42.35099,-71.07364,5468,4937,10405,0.2234,0.2184,0.2208
58,The Esplanade - Beacon St. at Arlington St.,42.3556,-71.07278,4810,5538,10348,0.2532,0.2763,0.2639
112,Franklin St. / Arch St.,42.3554,-71.05809,5008,5227,10235,0.1733,0.1785,0.1758
99,Mayor Thomas M. Menino - Government Center,42.35892,-71.05763,4693,5308,10001,0.1724,0.1681,0.1704
45,Yawkey Way at Boylston St.,42.34476,-71.09788,4734,4742,9476,0.2415,0.2286,0.2351
39,Washington St. at Rutland St.,42.33862,-71.07418,4784,4525,9309,0.2692,0.2722,0.2707
137,Porter Square Station,42.388,-71.11908,4784,4512,9296,0.2826,0.2765,0.2795
81,Boylston St / Washington St,42.35241,-71.06268,4550,4703,9253,0.205,0.2015,0.2033
32,Landmark Centre,42.34391,-71.10222,4728,4500,9228,0.2811,0.2845,0.2828
57,Columbus Ave. at Mass. Ave.,42.3408,-71.08157,4337,4806,9143,0.2154,0.2446,0.2293
139,Davis Square,42.39697,-71.12302,4875,4183,9058,0.2606,0.2759,0.2688
25,Tremont St / W Newton St,42.34133,-71.07685,4062,4768,8830,0.3563,0.3456,0.3514
96,Cambridge Main Library at Broadway / Trowbridge St,42.37338,-71.11107,4355,4436,8791,0.2462,0.2441,0.2452
20,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.0516,3969,4790,8759,0.2357,0.2217,0.2294
54,Tremont St / West St,42.35498,-71.06335,4272,4460,8732,0.2211,0.2334,0.2271
