station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
91,Clinton St & Washington Blvd,41.88338,-87.64117,10750,11553,22303,0.1045,0.1223,0.1131
75,Canal St & Jackson Blvd,41.87811,-87.63997,7284,7447,14731,0.1061,0.1223,0.1141
174,Canal St & Madison St,41.88209,-87.63983,6354,5717,12071,0.1562,0.119,0.1366
77,Clinton St & Madison St,41.88158,-87.64128,5846,5919,11765,0.1813,0.1931,0.1872
81,Daley Center Plaza,41.88434,-87.63018,5211,5684,10895,0.2,0.2073,0.2035
36,Franklin St & Jackson Blvd,41.87771,-87.63532,5207,5645,10852,0.1371,0.1356,0.1364
49,Dearborn St & Monroe St,41.88132,-87.62952,4913,5264,10177,0.148,0.1411,0.1447
52,Michigan Ave & Lake St,41.88606,-87.62429,4787,4645,9432,0.1668,0.1786,0.1728
51,Clark St & Randolph St,41.88458,-87.63189,4623,4618,9241,0.1457,0.1397,0.1427
37,Dearborn St & Adams St,41.87936,-87.62979,4241,4699,8940,0.1809,0.1429,0.1629
48,Larrabee St & Kingsbury St,41.89776,-87.64288,4489,4323,8812,0.1871,0.1782,0.1826
192,Canal St & Adams St,41.87923,-87.64002,4253,4451,8704,0.1272,0.1345,0.1308
66,Clinton St & Lake St,41.88583,-87.64138,4237,4413,8650,0.247,0.2473,0.2471
100,Orleans St & Merchandise Mart Plaza,41.88824,-87.63639,4335,4198,8533,0.2115,0.2053,0.2084
47,State St & Kinzie St,41.88918,-87.6277,4195,3739,7934,0.1934,0.1867,0.1899
181,LaSalle St & Illinois St,41.89075,-87.63206,3894,3766,7660,0.2122,0.2437,0.2282
74,Kingsbury St & Erie St,41.89384,-87.64185,3490,3808,7298,0.2114,0.1937,0.2029
110,State St & Erie St,41.89397,-87.62862,3661,3378,7039,0.2493,0.2428,0.2459
50,Clark St & Congress Pkwy,41.87593,-87.63058,3396,3516,6912,0.1493,0.1581,0.1536
98,LaSalle St & Washington St,41.88266,-87.63253,3054,3729,6783,0.1459,0.1539,0.1495
56,Desplaines St & Kinzie St,41.88872,-87.64445,3216,3542,6758,0.2047,0.1922,0.1988
43,Michigan Ave & Washington St,41.88389,-87.62465,3550,3156,6706,0.2009,0.1682,0.1836
59,Wabash Ave & Roosevelt Rd,41.86717,-87.62596,3607,2956,6563,0.2862,0.2811,0.2834
44,State St & Randolph St,41.88473,-87.62773,3082,3393,6475,0.2243,0.2385,0.2311
26,McClurg Ct & Illinois St,41.89102,-87.6173,3419,3037,6456,0.2358,0.2346,0.2352
31,Franklin St & Chicago Ave,41.8968,-87.63564,3215,3165,6380,0.213,0.2286,0.2209
90,Millennium Park,41.88103,-87.62408,3172,2955,6127,0.1885,0.2037,0.1964
67,Sheffield Ave & Fullerton Ave,41.9256,-87.65371,3096,2986,6082,0.2301,0.2435,0.2369
53,Wells St & Erie St,41.89383,-87.63419,2952,3123,6075,0.1678,0.1751,0.1713
195,Columbus Dr & Randolph St,41.8853,-87.62077,2592,3461,6053,0.1682,0.1601,0.1647
80,Aberdeen St & Madison St,41.88149,-87.65475,3077,2821,5898,0.1503,0.1537,0.1521
33,State St & Van Buren St,41.87718,-87.62784,2870,2984,5854,0.185,0.1794,0.1823
176,Clark St & Elm St,41.90323,-87.63125,2863,2946,5809,0.242,0.2358,0.2389
164,Franklin St & Lake St,41.88584,-87.6355,2561,3200,5761,0.1797,0.1722,0.1764
69,Damen Ave & Pierce Ave,41.9094,-87.67769,3006,2669,5675,0.2626,0.2295,0.2451
283,LaSalle St & Jackson Blvd,41.87817,-87.63199,2674,2823,5497,0.0868,0.083,0.085
140,Dearborn Pkwy & Delaware Pl,41.89901,-87.62993,2859,2565,5424,0.2207,0.2403,0.231
85,Michigan Ave & Oak St,41.90096,-87.62378,2652,2707,5359,0.2516,0.2315,0.2417
73,Jefferson St & Monroe St,41.88042,-87.64275,2374,2767,5141,0.1756,0.163,0.1698
199,Wabash Ave & Grand Ave,41.89174,-87.62694,2587,2516,5103,0.225,0.2227,0.2238
134,Peoria St & Jackson Blvd,41.87775,-87.64963,2503,2589,5092,0.2074,0.2285,0.2178
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,2458,2580,5038,0.1915,0.1814,0.1866
287,Franklin St & Arcade Pl,41.88113,-87.63518,2225,2796,5021,0.1366,0.1483,0.1418
191,Canal St & Monroe St,41.8807,-87.63947,1923,2931,4854,0.1583,0.1628,0.1601
58,Ashland Ave & Armitage Ave,41.91786,-87.66892,2326,2495,4821,0.2088,0.2077,0.2083
5,State St & Harrison St,41.87396,-87.62774,2360,2333,4693,0.2319,0.1907,0.2112
211,St Clair St & Erie St,41.89445,-87.62266,2447,2225,4672,0.2562,0.2517,0.2538
94,Lincoln Ave & Armitage Ave,41.91827,-87.63812,2361,2307,4668,0.2748,0.2838,0.2794
220,Hampden Ct & Diversey Pkwy,41.93262,-87.64239,2417,2094,4511,0.3118,0.324,0.3183
60,Dayton St & North Ave,41.91058,-87.64942,2282,2156,4438,0.2523,0.2375,0.2447
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.62174,2218,2177,4395,0.2825,0.2777,0.2801
13,Wilton Ave & Diversey Pkwy,41.9325,-87.65268,2092,1986,4078,0.2497,0.2352,0.2423
25,Michigan Ave & Pearson St,41.89766,-87.62351,2114,1953,4067,0.275,0.254,0.2641
88,May St & Randolph St,41.88397,-87.65569,1946,2080,4026,0.1481,0.184,0.1655
126,Clark St & North Ave,41.91179,-87.63184,1957,1903,3860,0.2659,0.233,0.2492
177,Theater on the Lake,41.92628,-87.63083,1934,1909,3843,0.2614,0.2585,0.2599
71,Morgan St & Lake St,41.88548,-87.6523,1882,1956,3838,0.1866,0.1573,0.1722
153,Southport Ave & Wellington Ave,41.93584,-87.6637,1890,1827,3717,0.214,0.237,0.2257
198,Halsted St & Madison St,41.88175,-87.6478,2021,1695,3716,0.1729,0.1895,0.1819
141,Clark St & Lincoln Ave,41.91569,-87.6346,1864,1827,3691,0.3498,0.3203,0.3349
76,Lake Shore Dr & Monroe St,41.88105,-87.61697,1801,1864,3665,0.2784,0.2704,0.2745
115,Sheffield Ave & Wellington Ave,41.93625,-87.65357,1924,1633,3557,0.2168,0.2105,0.2134
99,Lake Shore Dr & Ohio St,41.89257,-87.61449,1699,1668,3367,0.265,0.2766,0.2709
20,Sheffield Ave & Kingsbury St,41.90959,-87.6535,1788,1545,3333,0.3016,0.2992,0.3003
97,Museum Campus,41.86521,-87.61776,1752,1581,3333,0.2891,0.2654,0.2766
130,Damen Ave & Division St,41.90331,-87.67695,1679,1647,3326,0.2696,0.2591,0.2643
156,Clark St & Wellington Ave,41.9365,-87.64754,1642,1596,3238,0.1992,0.2253,0.2124
212,Wells St & Ohio St,41.89224,-87.63398,1602,1616,3218,0.1392,0.1267,0.133
112,Green St & Randolph St,41.88408,-87.64868,1645,1556,3201,0.1934,0.2116,0.2028
143,Sedgwick St & Webster Ave,41.92197,-87.63854,1684,1515,3199,0.3941,0.3593,0.3758
72,State St & 16th St,41.86012,-87.62773,1750,1414,3164,0.2468,0.2754,0.2626
210,Ashland Ave & Division St,41.90346,-87.66777,1588,1561,3149,0.2947,0.2809,0.2877
196,Cityfront Plaza & N Water St,41.88988,-87.62199,1484,1664,3148,0.1623,0.1604,0.1614
46,Wells St & Walton St,41.89993,-87.63443,1451,1667,3118,0.2855,0.2619,0.2745
21,Aberdeen St & Jackson Blvd,41.87773,-87.65479,1543,1518,3061,0.2358,0.234,0.2349
289,Wells St & Concord Ln,41.9122,-87.63466,1539,1518,3057,0.2912,0.2891,0.2901
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,1480,1554,3034,0.2001,0.2068,0.2034
45,Michigan Ave & Congress Pkwy,41.87607,-87.62443,1359,1620,2979,0.2284,0.2517,0.239
111,Sedgwick St & Huron St,41.89467,-87.63844,1401,1576,2977,0.1218,0.137,0.129
168,Michigan Ave & 14th St,41.86406,-87.62373,1622,1348,2970,0.2522,0.2435,0.2474
128,Damen Ave & Chicago Ave,41.89577,-87.67722,1602,1357,2959,0.3117,0.2753,0.292
35,Streeter Dr & Illinois St,41.89107,-87.6122,1528,1427,2955,0.2537,0.2415,0.2474
255,Indiana Ave & Roosevelt Rd,41.86789,-87.62304,1444,1511,2955,0.2383,0.2604,0.2491
175,Wells St & Polk St,41.87237,-87.63352,1375,1576,2951,0.243,0.2371,0.2403
93,Sheffield Ave & Willow St,41.91369,-87.65286,1461,1475,2936,0.2522,0.258,0.2551
68,Clinton St & Tilden St,41.87588,-87.64079,1417,1508,2925,0.1472,0.1426,0.145
