station_id,name,lat,lng,trips_ended,trips_started,trips_total,fpct_started,fpct_ended,fpct_total
497,E 17 St & Broadway,40.73705,-73.99009,43493,39987,83480,0.2608,0.2661,0.2636
521,8 Ave & W 31 St,40.75045,-73.99481,38407,38953,77360,0.1545,0.1699,0.1621
293,Lafayette St & E 8 St,40.73029,-73.99076,38028,38368,76396,0.2584,0.2564,0.2574
519,Pershing Square N,40.75188,-73.9777,32468,41705,74173,0.137,0.1348,0.136
459,W 20 St & 11 Ave,40.74675,-74.00776,37119,36543,73662,0.2439,0.2435,0.2437
285,Broadway & E 14 St,40.73455,-73.99074,32727,33366,66093,0.2574,0.2704,0.2638
435,W 21 St & 6 Ave,40.74174,-73.99416,31192,31590,62782,0.282,0.274,0.278
382,University Pl & E 14 St,40.73493,-73.99201,30348,29943,60291,0.2673,0.2655,0.2664
402,Broadway & E 22 St,40.74034,-73.98955,29478,28835,58313,0.2535,0.2564,0.255
477,W 41 St & 8 Ave,40.75641,-73.99003,27535,30171,57706,0.1338,0.1364,0.135
426,West St & Chambers St,40.71755,-74.01322,28974,28655,57629,0.3216,0.3152,0.3184
151,Cleveland Pl & Spring St,40.72182,-73.9972,27856,28176,56032,0.2859,0.2749,0.2804
284,Greenwich Ave & 8 Ave,40.73902,-74.00264,28010,26913,54923,0.2529,0.2412,0.2469
490,8 Ave & W 33 St,40.75155,-73.99393,23377,29821,53198,0.1438,0.1447,0.1442
444,Broadway & W 24 St,40.74235,-73.98915,26604,25739,52343,0.2089,0.2089,0.2089
318,E 43 St & Vanderbilt Ave,40.7532,-73.97799,25183,27017,52200,0.1161,0.0963,0.1065
380,W 4 St & 7 Ave S,40.73401,-74.00294,25063,25407,50470,0.2714,0.2641,0.2678
168,W 18 St & 6 Ave,40.73971,-73.99456,25513,24910,50423,0.2698,0.2918,0.2809
499,Broadway & W 60 St,40.76916,-73.98192,24328,25949,50277,0.2374,0.2287,0.2332
368,Carmine St & 6 Ave,40.73039,-74.00215,25976,24199,50175,0.2787,0.2659,0.2721
528,2 Ave & E 31 St,40.74291,-73.97706,24210,24216,48426,0.2616,0.2334,0.2475
518,E 39 St & 2 Ave,40.7478,-73.97344,23754,24180,47934,0.2311,0.2288,0.23
347,W Houston St & Hudson St,40.72874,-74.00749,23861,23603,47464,0.2616,0.2618,0.2617
128,MacDougal St & Prince St,40.7271,-74.00297,23814,23418,47232,0.2783,0.2822,0.2803
462,W 22 St & 10 Ave,40.74692,-74.00452,23666,23088,46754,0.2733,0.2717,0.2725
358,Christopher St & Greenwich St,40.73292,-74.00711,23388,22854,46242,0.2712,0.2947,0.2831
116,W 17 St & 8 Ave,40.74178,-74.0015,23165,23048,46213,0.2208,0.2121,0.2164
327,Vesey Pl & River Terrace,40.71534,-74.01658,22870,22300,45170,0.2353,0.2456,0.2405
127,Barrow St & Hudson St,40.73172,-74.00674,22762,21913,44675,0.2719,0.26,0.2658
466,W 25 St & 6 Ave,40.74395,-73.99145,22432,22227,44659,0.2059,0.204,0.2049
488,W 39 St & 9 Ave,40.75646,-73.99372,21838,22044,43882,0.1735,0.1591,0.1663
537,Lexington Ave & E 24 St,40.74026,-73.98409,22099,21652,43751,0.2288,0.2269,0.2278
417,Barclay St & Church St,40.71291,-74.0102,21140,22609,43749,0.1854,0.1818,0.1837
446,W 24 St & 7 Ave,40.74488,-73.9953,22084,21326,43410,0.2335,0.2257,0.2295
492,W 33 St & 7 Ave,40.7502,-73.99093,20650,22489,43139,0.1545,0.1261,0.1409
472,E 32 St & Park Ave,40.74571,-73.98195,20902,21970,42872,0.228,0.2181,0.2232
323,Lawrence St & Willoughby St,40.69236,-73.98632,21221,21100,42321,0.2482,0.2539,0.2511
504,1 Ave & E 15 St,40.73222,-73.98166,21147,20877,42024,0.2917,0.2863,0.289
540,Lexington Ave & E 26 St,40.74147,-73.98321,21171,20687,41858,0.2215,0.2178,0.2196
442,W 27 St & 7 Ave,40.74665,-73.99392,20305,20752,41057,0.2254,0.2361,0.2307
482,W 15 St & 7 Ave,40.73936,-73.99932,20668,20111,40779,0.2682,0.2601,0.2641
517,Pershing Square S,40.75149,-73.97799,16004,24225,40229,0.1458,0.131,0.1399
375,Mercer St & Bleecker St,40.72679,-73.99695,20169,20017,40186,0.2371,0.2449,0.241
523,W 38 St & 8 Ave,40.75467,-73.99138,18754,21035,39789,0.1891,0.1882,0.1887
294,Washington Square E,40.73049,-73.99572,19667,20018,39685,0.2666,0.2709,0.2687
345,W 13 St & 6 Ave,40.73649,-73.99704,19825,19698,39523,0.242,0.2421,0.2421
509,9 Ave & W 22 St,40.7455,-74.00197,20150,19148,39298,0.2372,0.2406,0.2389
147,Greenwich St & Warren St,40.71542,-74.01122,20266,18963,39229,0.2723,0.2701,0.2712
507,E 25 St & 2 Ave,40.73913,-73.97974,19707,19331,39038,0.269,0.2567,0.2628
457,Broadway & W 58 St,40.76695,-73.98169,17846,20542,38388,0.2186,0.2104,0.2148
237,E 11 St & 2 Ave,40.73047,-73.98672,19671,18581,38252,0.2962,0.2968,0.2965
453,W 22 St & 8 Ave,40.74475,-73.99915,19383,18853,38236,0.2248,0.2226,0.2237
334,W 20 St & 7 Ave,40.74239,-73.99726,18826,18832,37658,0.234,0.2292,0.2316
404,9 Ave & W 14 St,40.74058,-74.00551,19502,18077,37579,0.2469,0.2476,0.2473
450,W 49 St & 8 Ave,40.76227,-73.98788,18129,19172,37301,0.1733,0.1714,0.1724
229,Great Jones St,40.72743,-73.99379,18714,18301,37015,0.2513,0.2565,0.2539
401,Allen St & Rivington St,40.7202,-73.98998,18715,18195,36910,0.2716,0.262,0.2667
161,LaGuardia Pl & W 3 St,40.72917,-73.9981,18850,18002,36852,0.2507,0.2438,0.2472
251,Mott St & Prince St,40.72318,-73.9948,18677,18173,36850,0.2832,0.278,0.2806
305,E 58 St & 3 Ave,40.76096,-73.96724,17693,18062,35755,0.1872,0.1913,0.1892
236,St Marks Pl & 2 Ave,40.72842,-73.98714,18753,16981,35734,0.2729,0.2758,0.2744
463,9 Ave & W 16 St,40.74207,-74.00443,18096,17631,35727,0.2382,0.2309,0.2345
439,E 4 St & 2 Ave,40.72628,-73.98978,18629,17094,35723,0.247,0.2475,0.2473
